S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
88,2023-03-19,156,BBC,Bishal Bazar Company Limited,3211.0000,3326.0000,3205.0000,3326.0000,100,322630.0000,3261.0000,4550.0000,3083.0000,2023-03-19T14:58:26.990801,3326.0000,6,3226.30,1634.40
89,2023-03-19,219,UNL,Unilever Nepal Limited,20145.0000,20210.0000,20000.0000,20210.0000,140,2808850.0000,20145.0000,22000.0000,16556.7000,2023-03-19T14:52:19.011552,20210.0000,11,20063.21,18607.35
90,2023-03-19,232,GFCL,Goodwill Finance Limited,455.9000,456.9000,450.0000,455.0000,4150,1887958.0000,448.0000,634.0000,358.0000,2023-03-19T14:56:48.359910,455.0000,27,454.92,4304.82
91,2023-03-19,283,KBLPO,Kumari Bank Limited Promotor Share,110.8000,110.8000,110.8000,110.8000,2000,276000.0000,110.8000,130.0000,100.0000,2023-03-19T14:02:46.522983,110.8000,1,138.00,
92,2023-03-19,418,JBBL,Jyoti Bikas Bank Limited,274.0000,275.0000,270.0000,274.0000,14125,3863486.2000,274.9000,434.0000,248.0000,2023-03-19T14:59:31.550651,274.0000,106,273.52,12044.45
93,2023-03-19,471,MPFL,Multipurpose Finance Company  Limited,334.0000,340.6000,325.0000,325.0000,6703,2226606.0000,327.8000,418.0000,206.1000,2023-03-19T14:59:52.736441,325.0000,43,332.18,1469.00
94,2023-03-19,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,678.0000,688.0000,677.0000,678.1000,699,475490.4000,677.0000,1365.0000,676.0000,2023-03-19T14:59:55.404030,678.1000,14,680.24,2057.32
95,2023-03-19,2751,KKHC,Khanikhola Hydropower Co. Ltd.,243.0000,248.0000,243.0000,247.0000,3035,746489.1000,247.0000,318.0000,163.8000,2023-03-19T14:59:59.012214,247.0000,27,245.96,1150.31
96,2023-03-19,2780,CMF1,Citizens Mutual Fund -1,7.6800,7.6800,7.3800,7.3800,7570,57492.6000,7.5300,10.0000,6.7500,2023-03-19T14:31:16.498645,7.3800,5,7.59,
97,2023-03-19,2786,PMHPL,Panchakanya Mai Hydropower Ltd,248.0000,249.9000,243.0000,247.9000,6560,1607687.0000,248.0000,349.8000,168.0000,2023-03-19T14:59:57.288480,247.9000,47,245.07,2726.90
98,2023-03-19,2810,UPCL,UNIVERSAL POWER COMPANY LTD,250.1000,256.0000,250.1000,254.0000,55527,14038101.8000,253.0000,340.0000,175.9000,2023-03-19T14:59:56.888746,254.0000,208,252.81,5334.89
99,2023-03-19,2824,HURJA,Himalaya Urja Bikas Company Limited,354.0000,363.0000,354.0000,363.0000,3185,1145008.4000,360.0000,494.1000,190.5000,2023-03-19T14:59:00.898411,363.0000,43,359.50,3593.70
100,2023-03-19,2834,SRD80,10% Sunrise Debenture 2080,970.0000,970.0000,970.0000,970.0000,25,24250.0000,989.0000,990.0000,920.0000,2023-03-19T14:37:05.903721,970.0000,1,970.00,
101,2023-03-19,2893,AIL,Ajod Insurance Limited,447.1000,460.0000,447.1000,453.0000,2013,912229.0000,454.0000,768.9000,344.0000,2023-03-19T14:58:56.878620,453.0000,59,453.16,4530.00
102,2023-03-19,2895,NICAD8182,9% NIC Asia Debenture 2081/82,923.2000,923.2000,923.2000,923.2000,25,23080.0000,923.2000,950.0000,900.1000,2023-03-19T14:36:03.650979,923.2000,1,923.20,
103,2023-03-19,2917,CGH,Chandragiri Hills Limited,1120.0000,1155.0000,1120.0000,1148.0000,731,834130.0000,1129.0000,1487.0000,900.2000,2023-03-19T14:59:55.606976,1148.0000,35,1141.08,17611.36
104,2023-03-19,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,802.0000,806.0000,790.0000,790.0000,4063,3244619.3000,816.0000,1133.8000,665.1000,2023-03-19T14:59:42.929960,790.0000,40,798.57,3897.26
105,2023-03-19,8024,NBF3,Nabil Balanced Fund-3,7.4000,7.4000,7.2500,7.4000,32173,236233.2000,7.3000,9.4900,7.0800,2023-03-19T14:59:23.782037,7.4000,23,7.34,
106,2023-03-19,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,302.0000,319.6000,302.0000,312.1000,27320,8575127.4000,308.0000,412.0000,193.3000,2023-03-19T14:59:58.821590,312.1000,623,313.87,18726.00
107,2023-03-19,8097,PBD88,10% Prime Debenture 2088,836.3000,836.3000,805.0000,805.0000,65,53169.5000,820.0000,1000.0000,790.1000,2023-03-19T14:26:55.149287,805.0000,3,817.99,
108,2023-03-19,8102,MHL,Mandakini Hydropower Limited,385.0000,388.0000,377.4000,386.5000,2180,834546.0000,392.7000,436.0000,237.3000,2023-03-19T14:59:52.588952,386.5000,97,382.81,2272.76
109,2023-03-19,8104,USHEC,Upper Solu Hydro Electric Company Limited,345.1000,354.9000,345.1000,351.0000,5010,1759479.0000,351.0000,431.9000,237.0000,2023-03-19T14:59:07.875620,351.0000,148,351.19,4738.50
