S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
167,2023-03-19,8026,NYADI,Nyadi Hydropower Limited,325.4000,332.0000,325.4000,327.3000,1985,654633.5000,332.0000,498.6000,241.0000,2023-03-19T14:59:38.018986,327.3000,77,329.79,4909.50
168,2023-03-19,8073,NICFC,NIC Asia Flexi CAP Fund,7.8000,7.8000,7.6600,7.6800,6000,46302.0000,7.8500,10.0000,7.3000,2023-03-19T14:30:29.850493,7.6800,19,7.71,
169,2023-03-19,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,623.3000,648.7000,615.0000,648.7000,2226,1393220.0000,636.0000,963.0000,316.0000,2023-03-19T14:59:56.696994,648.7000,116,625.88,1621.75
170,2023-03-19,8133,PHCL,Peoples Hydropower Company Limited,353.0000,386.0000,353.0000,362.7000,32157,11700777.5000,359.1000,416.1000,196.9000,2023-03-19T14:59:55.609549,362.7000,793,363.86,11606.40
171,2023-03-19,9146,SMHL,Super Madi Hydropower Limited,403.0000,406.5000,389.0000,399.0000,31720,12580589.4000,401.0000,406.8000,299.0000,2023-03-19T14:59:50.164395,399.0000,1502,396.61,8379.00
172,2023-03-19,8132,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1470.0000,1470.0000,1350.0000,1390.0000,8230,11148561.0000,1500.0000,2485.2000,906.0000,2023-03-19T14:59:55.242060,1390.0000,284,1354.62,1520.31
173,2023-03-19,9140,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,1604.2000,1764.6000,1604.2000,1764.6000,900,1582295.0000,1604.2000,1764.6000,989.4000,2023-03-19T14:59:44.360350,1764.6000,43,1758.10,1952.22
174,2023-03-19,131,NABIL,Nabil Bank Limited,625.0000,625.0000,605.0000,606.0000,50724,30904775.8000,613.0000,1080.0000,605.0000,2023-03-19T14:59:57.628631,606.0000,813,609.27,163965.41
175,2023-03-19,133,SCB,Standard Chartered Bank Limited,506.0000,519.0000,506.0000,513.0000,13630,7024664.1000,512.0000,555.0000,375.0000,2023-03-19T14:59:12.354414,513.0000,123,515.38,48373.10
176,2023-03-19,135,SBI,Nepal SBI Bank Limited,322.9000,322.9000,312.3000,316.9000,31454,9937886.7000,318.6000,365.0000,251.0000,2023-03-19T14:59:47.567535,316.9000,84,315.94,32072.27
177,2023-03-19,183,NIL,Neco Insurance Limited,771.0000,774.9000,759.0000,767.0000,8871,6787487.1000,771.9000,1076.0000,601.0000,2023-03-19T14:59:06.258237,767.0000,59,765.13,15434.81
178,2023-03-19,255,PRVU,Prabhu  Bank Limited,176.5000,180.3000,176.4000,178.1000,82772,14739824.3000,180.0000,309.0000,176.4000,2023-03-19T14:59:56.997174,178.1000,505,178.07,41929.17
179,2023-03-19,472,SADBL,Shangrila Development Bank Ltd.,297.3000,304.9000,295.0000,297.1000,11082,3316404.1000,301.0000,422.9000,245.0000,2023-03-19T14:59:38.477412,297.1000,72,299.26,9708.04
180,2023-03-19,502,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,951.0000,951.0000,951.0000,951.0000,130,123630.0000,952.0000,1443.0000,749.0000,2023-03-19T13:34:18.107101,951.0000,4,951.00,4697.94
181,2023-03-19,561,SINDU,Sindhu Bikash Bank Ltd,261.4000,265.9000,260.6000,263.0000,1774,464513.6000,264.0000,404.9000,220.6000,2023-03-19T14:53:55.324478,263.0000,20,261.84,1466.11
182,2023-03-19,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,778.0000,784.0000,775.0000,784.0000,294,228785.2000,788.9000,1359.0000,761.0000,2023-03-19T14:58:18.052583,784.0000,15,778.18,2452.94
183,2023-03-19,2754,DHPL,Dibyashwori Hydropower Ltd.,226.0000,232.0000,226.0000,229.9000,4265,974405.4000,229.9000,327.0000,160.1000,2023-03-19T14:59:51.329553,229.9000,50,228.46,606.94
184,2023-03-19,2809,SHIVM,SHIVAM CEMENTS LTD,431.2000,433.0000,425.0000,425.0000,94697,40509851.7000,429.7000,1198.0000,425.0000,2023-03-19T14:59:59.134529,425.0000,603,427.78,18700.00
185,2023-03-19,2835,NBF2,NABIL BALANCED FUND-2,7.9000,8.0000,7.8400,7.8600,2550,20095.0000,7.8700,11.2000,7.4500,2023-03-19T14:31:51.632699,7.8600,7,7.88,
186,2023-03-19,2881,NRIC,Nepal Reinsurance Company Limited,728.3000,740.0000,726.0000,726.1000,12501,9146432.1000,735.0000,1232.7000,565.0000,2023-03-19T14:57:36.974460,726.1000,201,731.65,88820.18
187,2023-03-19,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,566.1000,575.0000,560.3000,568.9000,10424,5892922.3000,571.5000,1100.0000,560.3000,2023-03-19T14:58:50.191590,568.9000,124,565.32,9895.67
188,2023-03-19,2913,MEN,Mountain Energy Nepal Limited,765.0000,765.0000,754.0000,758.0000,1560,1190012.0000,758.0000,1135.0000,692.0000,2023-03-19T14:54:18.888901,758.0000,35,762.82,14917.64
189,2023-03-19,2934,SHEL,Singati Hydro Energy Limited,314.0000,319.0000,309.5000,318.0000,7993,2517314.0000,315.0000,451.0000,206.1000,2023-03-19T14:59:59.768636,318.0000,109,314.93,4611.00
190,2023-03-19,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2405.0000,2405.0000,2337.3000,2389.9000,5239,12392178.0000,2360.0000,3759.0000,747.7000,2023-03-19T14:59:56.466116,2389.9000,113,2365.37,6094.24
191,2023-03-19,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,309.0000,320.1000,309.0000,315.0000,4751,1490202.5000,314.0000,408.0000,217.0000,2023-03-19T14:59:58.636147,315.0000,189,313.66,3320.92
192,2023-03-19,9147,SPL,Shuvam Power Limited,526.3000,567.6000,510.0000,567.6000,50123,27078955.8000,516.0000,567.6000,265.0000,2023-03-19T14:59:48.008842,567.6000,3155,540.25,1135.20
193,2023-03-19,140,MBL,Machhapuchhre Bank Limited,223.1000,228.5000,223.1000,224.0000,20727,4655011.2000,226.0000,305.0000,199.0000,2023-03-19T14:58:44.394760,224.0000,91,224.58,22976.03
194,2023-03-19,145,SBL,Siddhartha Bank Limited,257.8000,267.0000,255.0000,261.0000,67933,17571542.8000,263.0000,414.8000,255.0000,2023-03-19T14:59:55.605100,261.0000,345,258.65,36774.85
195,2023-03-19,152,NHPC,National Hydro Power Company Limited,242.1000,247.0000,241.0000,243.0000,27665,6741763.7000,244.9000,334.5000,176.4000,2023-03-19T14:58:50.515094,243.0000,143,243.69,3989.55
196,2023-03-19,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,669.1000,692.0000,668.0000,685.0000,5493,3747614.0000,681.5000,1199.0000,668.0000,2023-03-19T14:59:56.165318,685.0000,107,682.25,10454.80
197,2023-03-19,176,NICL,Nepal Insurance Co. Ltd.,519.0000,519.0000,510.2000,516.0000,9773,5034227.9000,514.0000,934.0000,385.1000,2023-03-19T14:59:59.910837,516.0000,103,515.11,7712.99
198,2023-03-19,177,RBCL,Rastriya Beema Company Limited,12623.0000,12750.0000,12550.0000,12750.0000,143,1807140.0000,12700.0000,19401.9000,12215.0000,2023-03-19T14:41:38.897393,12750.0000,10,12637.34,33996.15
199,2023-03-19,210,CIT,Citizen Investment Trust,2015.0000,2035.0000,2005.0000,2026.0000,4737,9581095.1000,2015.0000,3297.0000,1780.0000,2023-03-19T14:59:55.989681,2026.0000,137,2022.60,86125.27
200,2023-03-19,227,BFC,Best Finance Company Ltd.,319.7000,329.7000,319.7000,326.0000,4105,1337744.6000,326.2000,476.9000,292.5000,2023-03-19T14:59:43.908294,326.0000,42,325.88,2702.26
201,2023-03-19,236,PFL,Pokhara Finance Ltd.,373.0000,379.9000,373.0000,373.1000,2440,920377.1000,380.0000,534.0000,290.0000,2023-03-19T14:57:19.816317,373.1000,27,377.20,4039.02
202,2023-03-19,238,NMB,NMB Bank Limited,220.0000,222.0000,219.0000,220.9000,47758,10501218.1000,221.0000,320.0000,217.9000,2023-03-19T14:59:56.514721,220.9000,201,219.88,40572.05
203,2023-03-19,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,800.0000,800.0000,790.0000,795.0000,3648,2892557.0000,803.9000,1407.0000,790.0000,2023-03-19T14:59:58.107114,795.0000,56,792.91,10259.44
204,2023-03-19,403,SJLIC,SuryaJyoti Life Insurance Company Limited,452.1000,452.1000,444.0000,444.1000,14015,6248483.6000,451.0000,806.5000,351.0000,2023-03-19T14:59:49.171126,444.1000,205,445.84,20186.89
205,2023-03-19,449,SBLPO,Siddhartha Bank Limited Promoter Share,160.0000,160.0000,160.0000,160.0000,90000,14400000.0000,160.0000,270.0000,160.0000,2023-03-19T12:24:08.527320,160.0000,1,160.00,
206,2023-03-19,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11400.0000,11446.4000,11218.0000,11442.3000,130,1484195.2000,11222.0000,18588.0000,9663.0000,2023-03-19T14:01:50.118870,11442.3000,7,11416.88,
207,2023-03-19,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,536.0000,555.9000,535.5000,548.0000,1610,879752.2000,545.0000,991.0000,535.5000,2023-03-19T14:59:25.371702,548.0000,23,546.42,3594.13
208,2023-03-19,2744,GRDBL,Green Development Bank Ltd.,260.0000,265.0000,256.0000,261.0000,1824,476803.8000,265.0000,363.9000,182.0000,2023-03-19T14:59:16.332880,261.0000,25,261.40,1354.59
209,2023-03-19,2813,PPCL,Panchthar Power Compant Limited,365.8000,365.8000,352.1000,354.9000,1987,703462.0000,359.0000,444.9000,230.0000,2023-03-19T14:59:19.661961,354.9000,36,354.03,3415.91
210,2023-03-19,2831,UNHPL,Union Hydropower Limited,239.0000,239.0000,235.0000,235.0000,4497,1066288.8000,236.2000,367.0000,165.1000,2023-03-19T14:55:29.843757,235.0000,41,237.11,1762.50
211,2023-03-19,2862,CMF2,CITIZENS MUTUAL FUND 2,8.0000,8.0000,7.6900,8.0000,51500,411685.0000,8.0000,10.7600,7.2400,2023-03-19T14:50:44.818209,8.0000,5,7.99,
212,2023-03-19,2863,NICBF,NIC Asia Balanced Fund,8.3500,8.3700,8.3500,8.3700,600,5020.0000,8.5000,11.3600,8.0400,2023-03-19T13:46:04.619281,8.3700,2,8.36,
213,2023-03-19,2914,UMRH,United IDI Mardi RB Hydropower Limited.,495.1000,509.0000,491.0000,505.0000,280,138895.0000,500.4000,1150.0000,390.0000,2023-03-19T14:59:33.638843,505.0000,20,496.05,2121.00
214,2023-03-19,8021,SAHAS,Sahas Urja Limited,533.3000,544.9000,533.3000,538.0000,8765,4712729.0000,542.0000,656.0000,377.5000,2023-03-19T14:59:58.105119,538.0000,282,537.67,18830.00
215,2023-03-19,8022,TPC,Terhathum Power Company Limited,435.0000,440.0000,430.8000,437.3000,350,152076.0000,443.0000,667.0000,303.9000,2023-03-19T14:59:59.168024,437.3000,21,434.50,1749.20
216,2023-03-19,8033,GBBD85,Garima Debenture", 2085,800.0000,800.0000,800.0000,800.0000,25,20000.0000,800.0000,1000.0000,722.5000,2023-03-19T12:13:17.287237,800.0000,1,800.00,
217,2023-03-19,8034,ENL,Emerging Nepal Limited,646.0000,672.1000,646.0000,672.1000,280,182357.0000,659.0000,1481.9000,482.0000,2023-03-19T14:59:13.486658,672.1000,18,651.27,3734.19
218,2023-03-19,8036,RULB,Rastra Utthan Laghubitta Sanstha Limited,661.6000,677.0000,656.0000,659.0000,1085,723723.0000,675.0000,1931.7000,580.3000,2023-03-19T14:59:52.225346,659.0000,56,667.02,1713.40
219,2023-03-19,8038,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,2380.0000,2380.0000,2329.5000,2349.0000,451,1060370.0000,2335.0000,3770.0000,318.6000,2023-03-19T14:56:31.495692,2349.0000,33,2351.15,3758.40
220,2023-03-19,8044,EBLD86,Everest Bank Limited,750.2000,757.0000,750.2000,757.0000,50,37680.0000,765.0000,1000.0000,725.0000,2023-03-19T12:56:27.310127,757.0000,2,753.60,
221,2023-03-19,132,NIMB,Nepal Investment Mega Bank Limited,192.1000,193.0000,189.7000,190.9000,72137,13758464.9000,192.0000,408.4900,189.7000,2023-03-19T14:59:47.723419,190.9000,382,190.72,65151.49
222,2023-03-19,148,TRH,Taragaon Regency Hotel Limited,469.2000,478.5000,452.0000,463.0000,6302,2947068.5000,460.0000,507.0000,302.1000,2023-03-19T14:59:39.526561,463.0000,59,467.64,8735.21
223,2023-03-19,179,HEI,Himalayan Everest Insurance Limited,400.6000,420.0000,400.6000,412.3000,8387,3463412.7000,408.7600,703.0000,345.0000,2023-03-19T14:59:58.521737,412.3000,61,412.95,9489.23
224,2023-03-19,180,UIC,United Insurance Co. (Nepal) Ltd.,434.9000,434.9000,425.0000,430.9000,4514,1924178.0000,427.0000,725.0000,325.0000,2023-03-19T14:59:53.994650,430.9000,32,426.26,4651.86
225,2023-03-19,341,GBIME,Global IME Bank Limited,190.0000,190.0000,186.0000,187.0000,70476,13195057.1000,187.2000,326.0000,183.8000,2023-03-19T14:59:46.948555,187.0000,477,187.22,66891.88
226,2023-03-19,385,ALICL,Asian Life Insurance Co. Limited,617.1000,625.0000,615.1000,617.1000,8877,5498583.0000,614.1000,1007.7000,428.0000,2023-03-19T14:59:51.312064,617.1000,84,619.41,17945.95
227,2023-03-19,700,HEIP,Himalayan Everest Insurance Limited Promoter,271.1000,275.4000,260.6000,275.4000,2263,604760.9000,276.6000,367.4000,214.2000,2023-03-19T14:49:05.860088,275.4000,11,267.23,
228,2023-03-19,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,563.0000,570.0000,556.0000,556.1000,2790,1567659.4000,563.0000,1089.9000,556.0000,2023-03-19T14:59:37.242577,556.1000,63,561.88,7340.52
229,2023-03-19,2752,NMBHF1,NMB Hybrid Fund L-1,9.9800,9.9800,9.6100,9.6100,11416,110321.6800,9.8000,12.2500,8.7900,2023-03-19T12:59:31.513402,9.6100,5,9.66,
230,2023-03-19,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,610.1000,619.0000,606.7000,618.0000,563,343949.1000,619.0000,1125.0000,598.0000,2023-03-19T14:59:16.328843,618.0000,13,610.92,2435.88
231,2023-03-19,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,971.0000,971.0000,933.0000,951.0000,160,151685.0000,973.5000,1840.0000,915.0000,2023-03-19T14:59:54.243584,951.0000,8,948.03,905.71
232,2023-03-19,2792,UPPER,Upper Tamakoshi Hydropower Ltd,458.0000,467.0000,458.0000,460.0000,21991,10152940.3000,459.2000,624.9000,354.0000,2023-03-19T14:59:47.721637,460.0000,243,461.68,48714.00
233,2023-03-19,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,731.0000,731.0000,731.0000,731.0000,14,10234.0000,745.0000,1225.0000,706.0000,2023-03-19T11:59:15.289918,731.0000,1,731.00,1107.86
234,2023-03-19,2867,NMB50,NMB 50,9.0100,9.0100,8.9300,8.9300,10500,93935.0000,9.1000,13.5300,8.2800,2023-03-19T12:55:25.877651,8.9300,6,8.94,
235,2023-03-19,2890,SBIBD86,10% Nepal SBI Bank Debenture 2086,860.0000,860.0000,860.0000,860.0000,1000,860000.0000,860.0000,960.0000,825.0000,2023-03-19T12:22:58.821834,860.0000,2,860.00,
236,2023-03-19,2902,LUK,Laxmi Unnati Kosh,8.2300,8.2300,7.7900,7.7900,13700,109282.0000,8.0700,10.5000,7.5200,2023-03-19T14:16:19.740427,7.7900,8,7.97,
237,2023-03-19,2933,KEF,Kumari Equity Fund,7.7500,7.9000,7.7500,7.8200,5320,41547.4000,7.8900,10.0700,7.7300,2023-03-19T14:57:16.743531,7.8200,15,7.80,
238,2023-03-19,2937,SBCF,Sunrise Bluechip Fund,7.1500,7.2500,7.1500,7.1600,7350,52810.0000,7.2400,8.9900,6.8500,2023-03-19T14:36:18.577875,7.1600,6,7.18,
239,2023-03-19,4949,NIBSF2,NIBL Samriddhi Fund -2,7.0700,7.6500,7.0700,7.5000,31950,241188.0000,7.2000,9.4900,6.7400,2023-03-19T14:45:40.940057,7.5000,23,7.54,
240,2023-03-19,8055,BHL,Balephi Hydropower Limited,329.0000,341.7000,329.0000,335.0000,5751,1927316.1000,335.0000,397.0000,104.7000,2023-03-19T14:59:54.458801,335.0000,113,335.12,6123.70
241,2023-03-19,9135,BHPL,Barahi Hydropower Public Limited,512.0000,550.0000,512.0000,521.2000,2811,1479374.0000,522.0000,677.2000,194.3000,2023-03-19T14:59:59.838147,521.2000,75,526.28,1303.00
242,2023-03-19,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,1337.1000,1367.0000,1315.0000,1340.0000,246,329906.9000,1364.0000,2705.0000,256.8000,2023-03-19T14:51:31.762083,1340.0000,17,1341.08,332.86
243,2023-03-19,8074,KDBY,Kumari Dhanabriddhi Yojana,7.8500,8.0200,7.8500,7.9100,5750,45432.0000,8.0000,10.4300,7.4600,2023-03-19T14:55:35.451285,7.9100,37,7.90,
244,2023-03-19,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,388.0000,400.0000,381.1000,389.0000,6306,2450359.5000,395.6000,411.6000,202.1000,2023-03-19T14:59:59.241560,389.0000,207,388.57,6196.77
245,2023-03-19,137,EBL,Everest Bank Limited,505.0000,506.0000,500.0000,505.0000,19303,9708560.6000,501.1000,558.9000,411.0000,2023-03-19T14:59:32.832732,505.0000,133,502.95,54025.38
246,2023-03-19,192,SICL,Shikhar Insurance Co. Ltd.,760.0000,760.0000,736.2000,750.0000,5202,3895613.7000,750.0000,1428.0000,690.1000,2023-03-19T14:59:38.575183,750.0000,92,748.86,19888.91
247,2023-03-19,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,531.0000,536.0000,530.1000,531.1000,5474,2915772.4000,536.1000,835.0000,530.1000,2023-03-19T14:59:59.640971,531.1000,87,532.65,6095.68
248,2023-03-19,610,RIDI,Ridi Power Company Limited,349.7000,349.7000,342.0000,342.0000,17937,6160504.3000,343.0000,838.0000,334.7000,2023-03-19T14:59:50.562103,342.0000,149,343.45,5297.24
249,2023-03-19,682,MMFDB,Mirmire Laghubitta Bittya Sanstha Limited,606.0000,618.0000,605.1000,610.0000,297,180929.0000,610.1000,1350.0000,605.0000,2023-03-19T14:50:37.079077,610.0000,17,609.18,3985.64
250,2023-03-19,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,197.0000,198.0000,195.4000,196.0000,54230,10647641.7000,196.5000,308.0000,159.8000,2023-03-19T14:59:41.367968,196.0000,273,196.34,42555.49
251,2023-03-19,2743,NGPL,Ngadi Group Power Ltd.,271.0000,280.1000,271.0000,276.0000,56583,15658824.9000,275.2000,694.0000,185.2000,2023-03-19T14:59:59.313361,276.0000,264,276.74,5109.53
252,2023-03-19,2753,NEF,Nabil Equity Fund,8.6300,8.7800,8.6300,8.7700,2779,24229.4900,8.6100,11.2500,7.7500,2023-03-19T14:31:13.638899,8.7700,5,8.71,
253,2023-03-19,2755,NIBLPF,NIBL Pragati Fund,8.3800,8.5400,8.3800,8.5400,6260,52555.0000,8.5300,11.7400,7.7800,2023-03-19T14:59:13.967730,8.5400,5,8.39,
254,2023-03-19,2773,SAEF,Sanima Equity Fund,10.5000,10.5000,10.1100,10.4900,4550,46828.6000,10.3100,13.8800,9.4600,2023-03-19T13:37:46.403453,10.4900,8,10.29,
255,2023-03-19,2806,GHL,Ghalemdi Hydro Limited,270.4000,274.0000,267.1000,271.0000,17724,4796592.2000,270.4000,341.0000,164.2000,2023-03-19T14:59:55.785510,271.0000,116,270.62,1490.50
256,2023-03-19,4956,ULI,Union Life Insurance Company Limited,400.0000,408.2000,400.0000,408.2000,6480,2616939.0000,403.2000,746.0000,397.1000,2023-03-19T14:59:56.251158,408.2000,303,403.84,9563.53
257,2023-03-19,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,421.0000,424.8000,415.0000,415.0000,1808,761223.0000,427.4000,715.0000,306.0000,2023-03-19T14:59:55.459621,415.0000,38,421.03,1660.00
258,2023-03-19,8122,PPL,People's Power Limited,303.1000,309.0000,300.1000,307.9000,6560,2009591.0000,303.1000,336.0000,190.0000,2023-03-19T14:59:59.623887,307.9000,291,306.34,1947.78
259,2023-03-19,9139,SAGF,Sanima Growth Fund,9.3900,9.3900,8.7600,8.7600,5100,45967.5000,9.5800,10.0000,8.7600,2023-03-19T14:52:40.931061,8.7600,21,9.01,
